Expiry_DT,FirstSpend_DT,Block_Code,Block_Date,CIC_Status,Card_Status,AKPK_Status,Card_First_Emboss_Date,Card_Emboss_Date,Card_First_Activated_Date,Card_Activated_Date,CP_CL,CP_CL_Available,CA_CL,CA_CL_Available,CP_CL_Usage,CA_CL_Usage,CIF_ID,Account_No,Account_Agree_Sts,Virtual_Card_Flag,Wallet_Tier
20290915,20260407,,0,N,Active,N,20260310,20260310,20260308,20260308,34500.0,30578.34,14407.99,5348.47,3921.66,9059.52,79358085,1000000000000014,A,N,Gold
20290415,20260122,,0,N,Active,N,20251214,20251214,20251228,20251228,39500.0,24585.23,13620.18,3799.13,14914.77,9821.05,25084086,1000000000000015,N,Y,Platinum
20280815,20251107,,0,P,Active,Y,20251109,20251109,20251101,20251101,20500.0,5475.52,4884.78,4700.49,15024.48,184.29,54244154,1000000000000016,A,Y,Gold
20271015,20260808,,0,P,Active,Y,20260726,20260726,20260725,20260725,28000.0,15332.7,7547.61,4787.84,12667.3,2759.77,86518436,1000000000000017,A,Y,Platinum
20311215,20260528,,0,N,Active,N,20260503,20260503,20260503,20260503,32000.0,4584.04,9657.08,7102.68,27415.96,2554.4,72887387,1000000000000018,A,Y,Gold
20271015,20260110,,0,N,Active,Y,20251215,20251215,20251213,20251213,22500.0,14157.07,7502.24,5440.63,8342.93,2061.61,37308590,1000000000000019,C,N,Basic
20290115,20260611,,0,C,Dormant,N,20260610,20260610,0,0,44500.0,42298.4,21865.31,21865.31,2201.6,0.0,24305357,1000000000000020,A,Y,Platinum
20280315,20251211,,0,N,Active,N,20251126,20251126,20251129,20251129,35000.0,15081.4,13274.94,13130.04,19918.6,144.9,87290137,1000000000000021,C,N,Gold
20290715,20260921,,0,P,Active,N,20260906,20260906,20260909,20260909,39500.0,39500.0,17403.35,9809.75,0.0,7593.6,96272547,1000000000000022,N,Y,Platinum
20290615,20250912,,0,N,Dormant,Y,20250904,20250904,0,0,29000.0,28427.34,11633.75,11633.75,572.66,0.0,39883970,1000000000000023,C,N,Gold
20310215,20251008,,0,C,Dormant,N,20250909,20250909,0,0,16000.0,15474.36,3503.76,3503.76,525.64,0.0,93388962,1000000000000024,N,N,Platinum
20310515,20250929,,0,P,Dormant,Y,20250926,20250926,0,0,35000.0,33767.7,10617.48,10617.48,1232.3,0.0,97191317,1000000000000025,A,Y,Platinum
20270715,20260902,,0,P,Dormant,Y,20260803,20260803,0,0,38500.0,38429.27,11243.95,11243.95,70.73,0.0,84642078,1000000000000026,A,N,Gold
20310515,20260221,,0,C,Active,N,20260209,20260209,20260217,20260217,24500.0,13457.36,4904.82,2907.89,11042.64,1996.93,68548403,1000000000000027,A,N,Platinum
20310315,20250821,,0,P,Active,N,20250817,20250817,20250815,20250815,23000.0,10847.81,5320.99,1213.97,12152.19,4107.02,45792181,1000000000000028,A,Y,Silver
20300715,20251123,,0,N,Active,Y,20251118,20251118,20251122,20251122,29000.0,21569.03,12526.09,8218.72,7430.97,4307.37,60182044,1000000000000029,N,Y,Gold
20301115,20260709,,0,P,Active,Y,20260613,20260613,20260609,20260609,41000.0,22786.39,18695.98,13231.16,18213.61,5464.82,10842074,1000000000000030,N,Y,Gold
20280715,20260711,,0,P,Dormant,Y,20260706,20260706,20260705,20260705,15000.0,14693.28,6777.95,6777.95,306.72,0.0,71792473,1000000000000031,N,N,Platinum
20270515,20260106,,0,P,Active,Y,20251224,20251224,20251229,20251229,20500.0,6695.42,8184.84,6551.3,13804.58,1633.54,26103982,1000000000000032,A,Y,Gold
20290415,20260428,,0,P,Active,Y,20260419,20260419,20260422,20260422,48000.0,44900.98,15719.23,15215.73,3099.02,503.5,35817805,1000000000000033,A,N,Platinum
20310215,20250902,,0,N,Active,Y,20250820,20250820,20250826,20250826,34000.0,28144.72,11962.94,11738.14,5855.28,224.8,35728692,1000000000000034,A,Y,Gold
20271215,20250922,,0,P,Dormant,N,20250905,20250905,0,0,21500.0,20471.0,8799.57,8799.57,1029.0,0.0,62052210,1000000000000035,N,N,Gold
20301015,20260717,,0,C,Dormant,N,20260619,20260619,0,0,50500.0,49346.82,22147.95,22147.95,1153.18,0.0,39707606,1000000000000036,A,N,Gold
20270315,20260918,,0,P,Dormant,Y,20260821,20260821,0,0,41000.0,39771.43,9821.54,9821.54,1228.57,0.0,75694038,1000000000000037,N,N,Gold
20310115,20260917,,0,N,Active,N,20260908,20260908,20260911,20260911,42500.0,23531.53,19964.61,10486.14,18968.47,9478.47,41222956,1000000000000038,C,Y,Platinum
20310315,20251208,,0,C,Dormant,N,20251030,20251030,20251112,20251112,12500.0,12095.82,3060.16,3060.16,404.18,0.0,73437105,1000000000000039,C,N,Silver
20311015,20260329,,0,P,Dormant,N,20260307,20260307,0,0,42000.0,41846.68,9144.03,9144.03,153.32,0.0,18223029,1000000000000040,A,Y,Gold
20270415,20250915,,0,N,Active,Y,20250830,20250830,20250909,20250909,35000.0,14323.55,12853.45,3418.3,20676.45,9435.15,27418572,1000000000000041,A,Y,Silver
20281115,20260126,,0,P,Active,N,20260114,20260114,20260116,20260116,39500.0,30817.85,12017.79,9163.22,8682.15,2854.57,26596590,1000000000000042,N,N,Gold
20310415,20260310,,0,C,Active,Y,20260201,20260201,20260217,20260217,40000.0,28983.12,15755.54,12380.15,11016.88,3375.39,86219084,1000000000000043,C,N,Gold
20300515,20251027,,0,C,Active,Y,20251017,20251017,20251010,20251010,16000.0,8834.03,3749.03,3002.51,7165.97,746.52,96155859,1000000000000044,A,N,Basic
20300415,20260807,,0,C,Active,N,20260727,20260727,20260723,20260723,40500.0,11285.31,19669.94,17602.69,29214.69,2067.25,82230944,1000000000000045,C,N,Platinum
20290215,20260225,T,20260502,C,Blocked,N,20260211,20260211,20260223,20260223,39000.0,18824.01,15437.66,9012.89,20175.99,6424.77,17597364,1000000000000046,C,Y,Platinum
20310715,20260901,,0,P,Active,Y,20260803,20260803,20260819,20260819,39500.0,18444.25,19345.53,4990.62,21055.75,14354.91,72511618,1000000000000047,A,N,Gold
20280415,20260704,,0,N,Active,N,20260612,20260612,20260607,20260607,39000.0,21568.5,10060.23,9593.37,17431.5,466.86,56993293,1000000000000048,A,N,Gold
20300815,20260923,,0,N,Active,Y,20260827,20260827,20260831,20260831,13500.0,6734.79,3716.57,2505.05,6765.21,1211.52,91650533,1000000000000049,A,N,Basic
20271015,20250910,,0,N,Dormant,N,20250824,20250824,0,0,34000.0,32327.81,14005.17,14005.17,1672.19,0.0,70832175,1000000000000050,C,N,Platinum
20291115,20251008,,0,P,Dormant,Y,20250916,20250916,0,0,23000.0,22239.99,8578.02,8578.02,760.01,0.0,48499243,1000000000000051,A,Y,Platinum
20270515,20251010,,0,P,Active,Y,20250926,20250926,20251004,20251004,17000.0,13526.07,4579.19,3643.13,3473.93,936.06,51211454,1000000000000052,C,N,Platinum
20311215,20251101,,0,P,Dormant,Y,20251025,20251025,0,0,41000.0,40956.47,17923.13,17923.13,43.53,0.0,64662098,1000000000000053,C,N,Gold
20271115,20260518,,0,C,Dormant,N,20260514,20260514,0,0,11500.0,11129.54,3468.39,3468.39,370.46,0.0,52869025,1000000000000054,C,Y,Basic
20300215,20250926,,0,C,Active,N,20250911,20250911,20250922,20250922,34500.0,23105.01,15250.88,4605.26,11394.99,10645.62,87668208,1000000000000055,C,N,Gold
20311215,20260517,,0,P,Dormant,N,20260429,20260429,0,0,35500.0,34568.47,17172.32,17172.32,931.53,0.0,83335618,1000000000000056,C,N,Gold
20271115,20261023,,0,C,Dormant,Y,20260928,20260928,0,0,31000.0,29758.76,6509.91,6509.91,1241.24,0.0,48251875,1000000000000057,N,N,Platinum
20310615,20260118,,0,P,Active,Y,20251226,20251226,20251227,20251227,44500.0,23892.42,12671.31,11045.63,20607.58,1625.68,37134697,1000000000000058,C,N,Gold
20280715,20251124,,0,C,Active,N,20251106,20251106,20251107,20251107,24500.0,12990.38,7179.89,4927.77,11509.62,2252.12,70068638,1000000000000059,A,Y,Platinum
20300715,20260417,C,20260718,N,Blocked,Y,20260319,20260319,20260320,20260320,35000.0,24119.12,8966.25,3101.54,10880.88,5864.71,90487164,1000000000000060,N,Y,Gold
20300315,20260629,,0,N,Active,Y,20260618,20260618,20260610,20260610,49000.0,43257.19,19855.12,11910.84,5742.81,7944.28,31964828,1000000000000061,C,Y,Gold
20280315,20261003,,0,N,Active,Y,20260910,20260910,20260911,20260911,20000.0,14272.97,4412.51,1160.22,5727.03,3252.29,94715069,1000000000000062,C,N,Gold
20291115,20260106,,0,C,Active,N,20251206,20251206,20251224,20251224,24000.0,19178.31,8795.73,4428.65,4821.69,4367.08,97963754,1000000000000063,N,N,Gold
20310415,20260725,,0,N,Active,N,20260708,20260708,20260717,20260717,44500.0,36360.33,17819.73,13495.34,8139.67,4324.39,97591634,1000000000000064,N,N,Platinum
20300315,20251220,,0,N,Active,Y,20251126,20251126,20251209,20251209,51500.0,25246.15,21177.68,10136.1,26253.85,11041.58,38876693,1000000000000065,C,N,Gold
20270715,20251020,,0,P,Active,Y,20250915,20250915,20250925,20250925,60500.0,60500.0,16143.89,3333.33,0.0,12810.56,91644298,1000000000000066,C,N,Gold
20291015,20250902,,0,C,Active,Y,20250822,20250822,20250822,20250822,38500.0,26124.33,13277.51,4297.16,12375.67,8980.35,17105323,1000000000000067,A,N,Gold
20310315,20251228,,0,C,Active,Y,20251226,20251226,20251225,20251225,42000.0,35691.74,19150.61,15316.0,6308.26,3834.61,41720102,1000000000000068,A,N,Gold
20310115,20260522,,0,C,Dormant,N,20260521,20260521,0,0,38500.0,37962.25,8443.4,8443.4,537.75,0.0,66363505,1000000000000069,N,N,Platinum
20291115,20251101,,0,C,Dormant,N,20251005,20251005,0,0,9000.0,8785.54,3255.5,3255.5,214.46,0.0,19229212,1000000000000070,C,N,Platinum
20300415,20251209,,0,N,Active,N,20251030,20251030,20251110,20251110,47000.0,29051.58,9821.55,6278.53,17948.42,3543.02,50773548,1000000000000071,A,Y,Platinum
20290515,20260606,,0,N,Active,N,20260520,20260520,20260512,20260512,48500.0,45880.96,16823.81,6089.59,2619.04,10734.22,66497402,1000000000000072,N,Y,Gold
20310315,20260626,C,20260714,C,Blocked,N,20260610,20260610,20260618,20260618,29500.0,22577.94,9898.32,9276.23,6922.06,622.09,23724194,1000000000000073,A,N,Gold
20300115,20260115,,0,P,Active,Y,20260103,20260103,20260107,20260107,16000.0,11845.7,6069.02,5770.59,4154.3,298.43,99508850,1000000000000074,A,N,Gold
20291115,20260211,,0,N,Active,Y,20260111,20260111,20260118,20260118,33500.0,26502.93,13154.36,12082.67,6997.07,1071.69,71524281,1000000000000075,A,Y,Gold
20270515,20260308,,0,C,Active,N,20260226,20260226,20260306,20260306,30500.0,13737.48,14001.66,2890.85,16762.52,11110.81,55470218,1000000000000076,A,N,Platinum
20290615,20260810,,0,N,Dormant,Y,20260716,20260716,0,0,46500.0,46246.52,18611.93,18611.93,253.48,0.0,24561005,1000000000000077,C,Y,Platinum
20281015,20261008,,0,P,Dormant,Y,20260915,20260915,0,0,28500.0,27390.46,8123.33,8123.33,1109.54,0.0,46093287,1000000000000078,N,N,Silver
20280115,20260309,,0,N,Dormant,Y,20260301,20260301,0,0,30000.0,29016.83,13775.09,13775.09,983.17,0.0,17298381,1000000000000079,A,N,Platinum
20290615,20260125,,0,N,Active,N,20260106,20260106,20260109,20260109,44500.0,36334.21,9176.95,4423.88,8165.79,4753.07,47101348,1000000000000080,A,N,Platinum
20310515,20260410,T,20260301,C,Blocked,Y,20260307,20260307,20260313,20260313,31000.0,26079.4,12315.86,12207.13,4920.6,108.73,40212304,1000000000000081,N,N,Gold
20310415,20260530,,0,P,Dormant,N,20260503,20260503,0,0,11000.0,10866.74,2285.27,2285.27,133.26,0.0,48668446,1000000000000082,A,N,Platinum
20300815,20260305,,0,C,Dormant,N,20260220,20260220,0,0,38000.0,37002.29,9363.11,9363.11,997.71,0.0,95380264,1000000000000083,N,N,Gold
20270815,20260331,,0,C,Dormant,Y,20260314,20260314,0,0,22500.0,21847.84,10450.68,10450.68,652.16,0.0,24051169,1000000000000084,C,N,Silver
20270815,20260321,,0,C,Active,Y,20260303,20260303,20260306,20260306,43000.0,32474.67,16060.18,10108.94,10525.33,5951.24,57865055,1000000000000085,C,Y,Gold
20290615,20260514,,0,N,Dormant,N,20260517,20260517,20260512,20260512,54000.0,53016.77,24198.07,24198.07,983.23,0.0,64646168,1000000000000086,A,N,Gold
20300715,20260617,,0,C,Dormant,Y,20260609,20260609,20260608,20260608,17000.0,16268.0,5736.03,5736.03,732.0,0.0,74802325,1000000000000087,A,N,Gold
20281115,20260214,,0,P,Dormant,N,20260117,20260117,0,0,47000.0,46789.99,20948.46,20948.46,210.01,0.0,93305188,1000000000000088,C,N,Platinum
20270815,20260602,,0,C,Active,Y,20260519,20260519,20260515,20260515,33500.0,25711.11,10838.18,9021.16,7788.89,1817.02,29750059,1000000000000089,C,N,Gold
20300915,20260113,,0,C,Active,N,20251217,20251217,20251220,20251220,52000.0,50909.15,11912.07,9126.82,1090.85,2785.25,13414017,1000000000000090,A,Y,Platinum
20310315,20261018,,0,C,Active,Y,20261002,20261002,20261005,20261005,24000.0,11770.83,6202.34,2896.66,12229.17,3305.68,73073898,1000000000000091,N,N,Gold
20311215,20260215,,0,C,Active,N,20260201,20260201,20260211,20260211,21000.0,13354.77,10035.51,2931.42,7645.23,7104.09,41715154,1000000000000092,A,N,Gold
20281215,20260310,,0,C,Dormant,N,20260304,20260304,0,0,16500.0,16321.78,6395.11,6395.11,178.22,0.0,56739546,1000000000000093,N,Y,Basic
20300215,20261004,,0,P,Dormant,N,20260831,20260831,20260908,20260908,45000.0,44372.8,15661.53,15661.53,627.2,0.0,60185867,1000000000000094,C,N,Gold
20290215,20260919,,0,P,Dormant,N,20260826,20260826,20260828,20260828,38000.0,37006.25,13097.17,13097.17,993.75,0.0,99064042,1000000000000095,A,N,Platinum
20300215,20251101,,0,C,Dormant,N,20251014,20251014,0,0,32500.0,31275.2,12524.33,12524.33,1224.8,0.0,59987316,1000000000000096,A,N,Platinum
20290215,20260725,,0,N,Active,Y,20260627,20260627,20260702,20260702,51000.0,24273.34,21489.17,8531.89,26726.66,12957.28,65180948,1000000000000097,C,Y,Gold
20291115,20260104,,0,C,Dormant,Y,20251123,20251123,20251206,20251206,47000.0,46916.79,13354.79,13354.79,83.21,0.0,44323784,1000000000000098,N,N,Platinum
20291015,20260812,,0,N,Dormant,Y,20260722,20260722,0,0,49000.0,46641.79,10230.75,10230.75,2358.21,0.0,35578773,1000000000000099,C,N,Platinum
20311015,20260228,,0,C,Dormant,N,20260215,20260215,0,0,47000.0,45131.53,14246.7,14246.7,1868.47,0.0,52209421,1000000000000100,N,N,Gold
20280415,20250927,,0,P,Active,Y,20250912,20250912,20250922,20250922,24000.0,19514.4,8384.0,3046.24,4485.6,5337.76,86273803,1000000000000101,N,Y,Gold
20270415,20251015,,0,C,Active,Y,20250914,20250914,20250921,20250921,19000.0,9087.35,6900.9,4507.03,9912.65,2393.87,51460853,1000000000000102,C,Y,Basic
20300515,20260520,,0,C,Dormant,Y,20260505,20260505,20260504,20260504,20000.0,19500.85,4603.85,4603.85,499.15,0.0,91041439,1000000000000103,A,N,Gold
20311115,20260730,,0,P,Dormant,N,20260718,20260718,0,0,38500.0,36934.49,18619.5,18619.5,1565.51,0.0,58255231,1000000000000104,N,N,Platinum
20300615,20260118,,0,P,Dormant,N,20251227,20251227,0,0,53000.0,50715.6,20909.78,20909.78,2284.4,0.0,33827142,1000000000000105,A,N,Gold
20311115,20260927,,0,C,Active,N,20260905,20260905,20260921,20260921,40000.0,24265.11,9802.61,5077.28,15734.89,4725.33,62570183,1000000000000106,A,N,Gold
20280915,20260110,,0,P,Active,Y,20251211,20251211,20251226,20251226,26500.0,20210.07,8847.56,5437.45,6289.93,3410.11,61655958,1000000000000107,A,Y,Basic
20310415,20251213,,0,P,Dormant,N,20251212,20251212,0,0,41500.0,40752.99,11639.91,11639.91,747.01,0.0,15081624,1000000000000108,N,Y,Platinum
20290715,20260709,,0,C,Dormant,N,20260628,20260628,0,0,34000.0,33458.43,8832.8,8832.8,541.57,0.0,43792654,1000000000000109,C,N,Gold
20301015,20260719,,0,N,Dormant,N,20260622,20260622,0,0,45500.0,44090.28,19848.01,19848.01,1409.72,0.0,96574438,1000000000000110,A,Y,Platinum
20270915,20260131,,0,N,Dormant,Y,20260119,20260119,0,0,23500.0,22842.68,7312.83,7312.83,657.32,0.0,44184054,1000000000000111,A,Y,Platinum
20280915,20260303,,0,C,Dormant,N,20260130,20260130,20260216,20260216,52500.0,52200.5,12813.38,12813.38,299.5,0.0,57814619,1000000000000112,A,Y,Platinum
20270715,20261006,,0,C,Active,Y,20260906,20260906,20260908,20260908,40000.0,29564.34,13273.12,12922.1,10435.66,351.02,91979982,1000000000000113,C,Y,Platinum
20270315,20260509,,0,C,Active,Y,20260409,20260409,20260422,20260422,16500.0,8247.03,5577.32,3902.82,8252.97,1674.5,80889684,1000000000000114,C,Y,Silver
20270615,20260331,,0,C,Dormant,Y,20260321,20260321,0,0,48000.0,46096.21,22277.45,22277.45,1903.79,0.0,31450764,1000000000000115,A,Y,Gold
20300615,20261028,,0,N,Active,N,20260929,20260929,20261004,20261004,30000.0,20166.7,10741.66,7419.48,9833.3,3322.18,13852508,1000000000000116,C,N,Platinum
20310215,20260608,,0,N,Active,N,20260507,20260507,20260512,20260512,41000.0,36089.44,9465.16,6573.01,4910.56,2892.15,43562313,1000000000000117,C,N,Platinum
20300315,20260624,,0,P,Active,N,20260611,20260611,20260621,20260621,51000.0,31673.92,23759.87,18615.51,19326.08,5144.36,40757252,1000000000000118,N,N,Gold
20280115,20250913,,0,C,Dormant,Y,20250906,20250906,0,0,30500.0,29826.97,14140.46,14140.46,673.03,0.0,79550585,1000000000000119,A,N,Platinum
20270115,20260223,,0,P,Active,N,20260119,20260119,20260129,20260129,24000.0,17327.08,5381.39,5064.35,6672.92,317.04,88295121,1000000000000120,C,Y,Basic
20290415,20260112,,0,C,Dormant,Y,20251227,20251227,20251223,20251223,45500.0,44707.95,12316.1,12316.1,792.05,0.0,64162221,1000000000000121,C,Y,Platinum
20290215,20251230,,0,P,Dormant,N,20251212,20251212,0,0,26000.0,24764.89,9863.68,9863.68,1235.11,0.0,82712656,1000000000000122,C,N,Silver
20310915,20260603,,0,C,Active,N,20260429,20260429,20260512,20260512,20000.0,14460.88,4351.99,1880.4,5539.12,2471.59,45411876,1000000000000123,A,N,Gold
20300115,20260118,,0,C,Dormant,Y,20260107,20260107,20260113,20260113,22000.0,21195.99,5137.51,5137.51,804.01,0.0,49423056,1000000000000124,N,N,Platinum
20290915,20260906,,0,P,Active,N,20260730,20260730,20260807,20260807,17000.0,14916.98,4979.46,1170.74,2083.02,3808.72,28528338,1000000000000125,N,Y,Platinum
20310915,20260514,,0,N,Active,N,20260428,20260428,20260506,20260506,17500.0,12153.87,4570.81,3678.89,5346.13,891.92,13003845,1000000000000126,A,Y,Basic
20281015,20260715,,0,P,Active,Y,20260629,20260629,20260706,20260706,30000.0,20230.07,8482.61,2038.16,9769.93,6444.45,40055302,1000000000000127,C,N,Platinum
20290115,20260614,,0,C,Active,Y,20260512,20260512,20260518,20260518,33000.0,23235.49,7745.49,7502.68,9764.51,242.81,95689443,1000000000000128,N,N,Platinum
20290715,20251215,,0,N,Active,Y,20251110,20251110,20251122,20251122,28000.0,22626.32,5728.29,4503.32,5373.68,1224.97,72992763,1000000000000129,N,Y,Gold
20310315,20260421,T,20260304,C,Blocked,N,20260320,20260320,20260403,20260403,45500.0,31365.88,16221.14,3899.02,14134.12,12322.12,41154021,1000000000000130,N,N,Gold
20291015,20260919,,0,N,Active,Y,20260824,20260824,20260831,20260831,50500.0,39208.7,25213.82,23773.17,11291.3,1440.65,20159556,1000000000000131,N,N,Gold
20311015,20260506,L,20260622,P,Blocked,Y,20260501,20260501,0,0,23000.0,21957.6,9064.31,9064.31,1042.4,0.0,79241651,1000000000000132,N,N,Platinum
20280315,20260301,,0,C,Active,Y,20260213,20260213,20260216,20260216,52000.0,38800.45,24529.94,18996.7,13199.55,5533.24,62215999,1000000000000133,N,N,Platinum
20270415,20260707,,0,P,Dormant,Y,20260703,20260703,0,0,40500.0,39249.81,14293.69,14293.69,1250.19,0.0,31368427,1000000000000134,A,N,Platinum
20310115,20260423,,0,P,Active,Y,20260420,20260420,20260418,20260418,38500.0,34859.89,16587.88,4623.31,3640.11,11964.57,60525308,1000000000000135,C,Y,Platinum
20300715,20260307,,0,C,Active,N,20260210,20260210,20260211,20260211,34500.0,16633.97,12310.88,5085.56,17866.03,7225.32,61104210,1000000000000136,N,N,Gold
20270915,20251105,,0,N,Active,N,20251004,20251004,20251010,20251010,20000.0,16067.25,5337.03,2272.81,3932.75,3064.22,96596388,1000000000000137,C,Y,Basic
20280515,20251111,,0,C,Active,N,20251015,20251015,20251030,20251030,49000.0,28690.27,9838.2,5954.29,20309.73,3883.91,93805780,1000000000000138,A,Y,Gold
20311215,20251220,,0,P,Active,N,20251126,20251126,20251126,20251126,52500.0,52500.0,12154.24,9878.36,0.0,2275.88,18809485,1000000000000139,A,Y,Platinum
20280215,20260508,,0,N,Dormant,Y,20260423,20260423,0,0,41000.0,39032.75,15244.42,15244.42,1967.25,0.0,72796578,1000000000000140,C,N,Platinum
20301215,20251024,,0,N,Active,Y,20251002,20251002,20250930,20250930,34000.0,20031.94,9621.59,7710.77,13968.06,1910.82,35553337,1000000000000141,N,N,Gold
20300515,20251111,,0,P,Dormant,N,20251024,20251024,20251101,20251101,38500.0,38258.75,10580.46,10580.46,241.25,0.0,12895539,1000000000000142,N,Y,Platinum
20281015,20251023,,0,N,Dormant,N,20250923,20250923,0,0,47000.0,46306.44,12680.46,12680.46,693.56,0.0,97441279,1000000000000143,C,N,Platinum
20280215,20260103,,0,N,Active,N,20251220,20251220,20251230,20251230,47000.0,29639.49,13589.93,5103.51,17360.51,8486.42,98842638,1000000000000144,C,N,Gold
20270415,20251021,,0,N,Dormant,Y,20250925,20250925,0,0,40000.0,39689.08,15553.64,15553.64,310.92,0.0,43274275,1000000000000145,N,Y,Gold
20280915,20260426,,0,P,Active,Y,20260421,20260421,20260412,20260412,10000.0,6747.03,3927.86,1393.98,3252.97,2533.88,62974395,1000000000000146,C,N,Silver
20280315,20260810,,0,N,Active,Y,20260809,20260809,20260808,20260808,43000.0,33409.39,21105.64,20100.04,9590.61,1005.6,52812494,1000000000000147,C,N,Platinum
20280415,20251220,,0,P,Active,Y,20251205,20251205,20251216,20251216,33000.0,23813.5,7190.77,1612.62,9186.5,5578.15,77484308,1000000000000148,A,N,Gold
20280915,20251112,,0,C,Dormant,N,20251018,20251018,20251021,20251021,26000.0,25095.32,10810.65,10810.65,904.68,0.0,98242071,1000000000000149,N,N,Platinum
20280615,20260825,,0,N,Active,N,20260815,20260815,20260815,20260815,19000.0,7170.01,6830.6,2080.85,11829.99,4749.75,48112097,1000000000000150,A,N,Gold
20271215,20260116,,0,P,Active,Y,20251225,20251225,20251227,20251227,22000.0,13236.62,5830.36,1989.42,8763.38,3840.94,49885623,1000000000000151,N,N,Platinum
20300815,20260124,,0,C,Dormant,Y,20260109,20260109,20260113,20260113,45000.0,44878.57,18284.19,18284.19,121.43,0.0,93302663,1000000000000152,C,N,Gold
20271115,20260613,,0,P,Active,Y,20260514,20260514,20260520,20260520,38500.0,26757.81,15672.66,5475.55,11742.19,10197.11,87267518,1000000000000153,A,Y,Gold
20281115,20251020,,0,N,Active,N,20250928,20250928,20251004,20251004,22500.0,15218.36,10124.88,6229.59,7281.64,3895.29,10344739,1000000000000154,N,N,Basic
20270115,20251115,,0,P,Active,Y,20251027,20251027,20251031,20251031,37000.0,37000.0,10285.44,9057.47,0.0,1227.97,77125394,1000000000000155,C,Y,Gold
20300215,20260303,,0,C,Dormant,Y,20260219,20260219,0,0,31500.0,31120.28,14415.68,14415.68,379.72,0.0,28853237,1000000000000156,C,Y,Gold
20290715,20260730,,0,N,Active,Y,20260704,20260704,20260709,20260709,16000.0,3966.15,3729.48,1533.16,12033.85,2196.32,65921495,1000000000000157,A,N,Silver
20300215,20260211,,0,P,Active,N,20260108,20260108,20260117,20260117,21500.0,11847.01,9576.52,8874.18,9652.99,702.34,65692507,1000000000000158,A,Y,Basic
20300315,20260516,,0,N,Active,Y,20260410,20260410,20260419,20260419,29500.0,19326.31,8301.73,2292.74,10173.69,6008.99,75972463,1000000000000159,N,N,Gold
20310715,20260406,,0,N,Dormant,Y,20260329,20260329,0,0,34500.0,34390.92,7456.19,7456.19,109.08,0.0,80314738,1000000000000160,C,N,Platinum
20290115,20260114,,0,P,Dormant,N,20251230,20251230,20260102,20260102,14500.0,13959.21,5925.22,5925.22,540.79,0.0,78555983,1000000000000161,A,Y,Gold
20280815,20261021,,0,N,Dormant,N,20260921,20260921,0,0,23000.0,21850.36,8249.88,8249.88,1149.64,0.0,41913701,1000000000000162,C,N,Gold
