Rcd_DT,Account_No,Appl_ID,ApplSts_ID,CIF_ID,CardTyp_ID,CardBrand_ID,CardApplTyp_ID,ApplChnnl_ID,Reject_ID,Decline_ID,Agent_ID,ScoreDecision_ID,ScoreRank_ID,SysRcmmd_ID,Gender,Age,Race,Nationality,MaritalSts,Academic,YrStay,HomeOwn,Occupation,NOB,YrJob,NetIncome,GrossIncome,AnnualIncome,AnnualIncomeTotLmt,CurrRepay,NewRepay,RcmmdIntrst,NDI,CurrDSR,NewDSR,PaySlipTyp_ID,CardActivate_FG,EmergencyCont_FG,CardActivate_DT,Judge_DT,Appl_DT,B_Limit,B_CrLimit,B_CashAdvLimit,B_NonBankCommitment,CIFState_ID,Biometric_FG,FinalDecline_ID,Final_Score,Final_Score_Type,Final_ScoreDesc,ApplyCardBiz_ID,ProposedCardBiz_ID
9/2/2026,1000000000000014,23811697046,Approve,79358085,Infinite,Master,S,T1,0,0,94850000,A,H, ,M,53,Malay,MAL,MARRIED,PhD,3,OWNED,Nurse,Retail Trade,8,19330,24013,288164,288164,22,31,6.16,3823,28,34,2,Y,Y,20260308,20260305,20260218,48907.99,34500,14407.99,1662.59,Sabah,1,0,754,4,Excellent,GD,IN
9/2/2026,1000000000000015,20097448491,Approve,25084086,Gold,Master,S,B1,0,0,94850000,A,H, ,F,29,Others,MAL,MARRIED,SPM,6,OWNED,Factory Worker,Real Estate,10,20240,25392,304705,304705,24,29,0.16,5369,16,28,2,Y,N,20251228,20251212,20251202,53120.18,39500,13620.18,634.51,Johor,N,0,706,3,Excellent,V3,MG
9/2/2026,1000000000000016,22998633829,Approve,54244154,Platinum,Visa,S,U3,0,0,1,A,A,A,F,56,Malay,MAL,MARRIED,Bachelor Degree,30,OWNED,Engineer,Wholesale,31,8171,9782,117393,117393,28,31,2.78,5348,37,40,3,Y,Y,20251101,20251030,20251015,25384.78,20500,4884.78,251.47,Selangor,Y,0,590,4,No Score,CL,MG
9/2/2026,1000000000000017,25045170465,Approve,86518436,Platinum,Visa,S,U1,0,0,88,A,B,D,M,24,Chinese,MAL,MARRIED,STPM,3,OWNED,Nurse,Hospitality,0,7244,9164,109975,109975,29,38,4.23,7441,37,44,1,Y,Y,20260725,20260721,20260627,35547.61,28000,7547.61,1638.33,Selangor,1,0,715,4,Fair,GD,GD
9/2/2026,1000000000000018,27155102077,Approve,72887387,Gold,Visa,P,T3,0,0,0,A,A, ,M,63,Malay,MAL,MARRIED,STPM,17,OWNED,Engineer,Manufacturing,28,13435,17297,207571,207571,17,20,10.42,2601,17,28,5,Y,N,20260503,20260424,20260419,41657.08,32000,9657.08,115.34,Johor,N,0,686,3,Very Good,BC,V3
9/2/2026,1000000000000019,21371892339,Approve,37308590,Classic,Visa,P,B6,0,0,88,A,-,N,M,22,Malay,MAL,MARRIED,SPM,1,OWNED,Civil Servant,Agriculture,4,6753,8916,107000,107000,30,41,7.11,5509,29,38,3,Y,N,20251213,20251205,20251117,30002.24,22500,7502.24,974.97,Selangor,0,0,597,4,Fair,PL,V3
9/2/2026,1000000000000020,29464245812,Approve,24305357,Platinum,Master,S,O1,0,0,0,A,D,D,F,53,Chinese,MAL,SINGLE,SPM,32,OWNED,Engineer,Plantation,6,19206,24780,297363,297363,22,27,17.18,6830,29,32,3,N,Y,0,20260602,20260528,66365.31,44500,21865.31,829.65,Sabah,0,0,736,4,Very Good,GD,C2
9/2/2026,1000000000000021,20875687838,Approve,87290137,Gold,Master,S,O3,0,0,0,A,-,D,F,45,Chinese,MAL,SINGLE,SPM,5,FAMILY OWNED,Supervisor,Manufacturing,21,17827,22246,266955,266955,11,15,0.87,3798,8,15,1,Y,Y,20251129,20251119,20251023,48274.94,35000,13274.94,1374.89,Selangor,N,0,739,4,Very Good,C2,GD
9/2/2026,1000000000000022,27635306047,Approve,96272547,Platinum,Visa,P,T2,0,0,94850000,A,H,N,M,24,Chinese,MAL,MARRIED,Bachelor Degree,2,OWNED,Army Personnel,Financial Services,3,22332,27699,332395,332395,19,20,17.85,1802,21,25,5,Y,N,20260909,20260827,20260813,56903.35,39500,17403.35,1974.37,Kuala Lumpur,0,0,772,2,No Score,C2,C2
9/2/2026,1000000000000023,27344438059,Approve,39883970,Platinum,Master,P,B1,0,0,88,A,-,A,F,64,Indian,MAL,SINGLE,Bachelor Degree,5,OWNED,Nurse,Healthcare,11,13535,15947,191374,191374,28,40,5,6713,33,35,1,N,N,0,20250828,20250811,40633.75,29000,11633.75,1984.09,Pahang,Y,0,684,4,Very Good,MG,PL
9/2/2026,1000000000000024,22128256238,Approve,93388962,Platinum,Visa,P,R5,0,0,1,A,-,A,M,37,Chinese,MAL,SINGLE,Master Degree,9,RENTING,Driver,Food & Beverage,18,6936,8518,102216,102216,42,43,5.21,1571,40,51,2,N,N,0,20250906,20250903,19503.76,16000,3503.76,1449.2,Johor,0,0,531,1,No Score,PL,BC
9/2/2026,1000000000000025,29882063940,Approve,97191317,Infinite,Visa,S,R1,0,0,1,A,D, ,F,47,Indian,MAL,SINGLE,Diploma,29,RENTING,Engineer,Manufacturing,17,14349,18044,216538,216538,33,37,13.6,3727,28,38,3,N,Y,0,20250921,20250916,45617.48,35000,10617.48,1869,Sarawak,N,0,836,2,Fair,PL,C2
9/2/2026,1000000000000026,20886073837,Approve,84642078,Platinum,Visa,P,B1,0,0,0,A,B,D,F,65,Chinese,MAL,SINGLE,SPM,22,OWNED,Businessman,Real Estate,36,19166,23471,281653,281653,21,31,11.13,7299,27,31,1,N,N,0,20260725,20260701,49743.95,38500,11243.95,667.32,Sabah,Y,0,678,1,Fair,IN,GD
9/2/2026,1000000000000027,20889422541,Approve,68548403,Classic,Visa,P,R1,0,0,0,A,-,N,M,65,Malay,MAL,SINGLE,Diploma,20,MORTGAGE,Retail Assistant,Real Estate,34,11129,14077,168934,168934,22,33,14.73,4213,17,27,3,Y,N,20260217,20260202,20260104,29404.82,24500,4904.82,1548.25,Selangor,1,0,628,4,Low,C2,IN
9/2/2026,1000000000000028,27714596011,Approve,45792181,Platinum,Master,P,O3,0,0,94850000,A,B, ,F,63,Malay,MAL,MARRIED,Diploma,10,OWNED,Teacher,Transportation,30,9981,13279,159352,159352,37,44,7.56,7065,41,48,5,Y,N,20250815,20250811,20250802,28320.99,23000,5320.99,770.08,Pulau Pinang,0,0,531,4,Good,MG,V3
9/2/2026,1000000000000029,25005005106,Approve,60182044,Platinum,Visa,S,O1,0,0,88,A,H,A,M,52,Chinese,MAL,MARRIED,Master Degree,1,FAMILY OWNED,Engineer,Plantation,16,12121,15718,188625,188625,18,29,0.1,6086,20,30,2,Y,N,20251122,20251117,20251031,41526.09,29000,12526.09,1827.89,Kelantan,0,0,758,2,Very Good,GD,PL
9/2/2026,1000000000000030,26618402731,Approve,10842074,Platinum,Master,P,R1,0,0,0,A,B,N,F,35,Malay,MAL,WIDOWED,SPM,10,MORTGAGE,Clerk,Manufacturing,15,18726,23363,280362,280362,23,25,13.16,5825,27,32,5,Y,Y,20260609,20260608,20260524,59695.98,41000,18695.98,1080.12,Kuala Lumpur,0,0,738,1,Fair,IN,MG
9/2/2026,1000000000000031,25610705464,Approve,71792473,Classic,Master,P,O5,0,0,0,A,D,A,F,37,Chinese,MAL,MARRIED,SPM,12,RENTING,Contractor,Professional Services,8,11738,13634,163617,163617,49,59,0.98,7770,45,55,3,Y,N,20260705,20260626,20260531,21777.95,15000,6777.95,650.34,Selangor,N,0,429,4,Good,BC,GD
9/2/2026,1000000000000032,29248417878,Approve,26103982,Platinum,Master,S,T2,0,0,88,A,D,D,M,53,Chinese,MAL,SINGLE,Diploma,13,OWNED,Administrator,Agriculture,10,2171,2765,33184,33184,49,60,11.69,4353,46,55,1,Y,N,20251229,20251219,20251123,28684.84,20500,8184.84,649.27,Pahang,Y,0,601,4,Good,MG,PL
9/2/2026,1000000000000033,26551842977,Approve,35817805,Platinum,Visa,P,T3,0,0,0,A,-,D,F,57,Chinese,MAL,SINGLE,SPM,27,MORTGAGE,Accountant,Manufacturing,16,19751,22780,273361,273361,11,18,6.79,1700,17,19,2,Y,Y,20260422,20260409,20260315,63719.23,48000,15719.23,1040.49,Johor,0,0,694,2,Excellent,BC,V3
9/2/2026,1000000000000034,20323035589,Approve,35728692,Platinum,Visa,S,R1,0,0,94850000,A,B, ,M,24,Chinese,MAL,SINGLE,Bachelor Degree,5,OWNED,Businessman,Retail Trade,2,19898,26835,322020,322020,20,26,12.69,683,22,25,5,Y,Y,20250826,20250810,20250804,45962.94,34000,11962.94,1433.31,Pahang,0,0,762,3,Excellent,V3,IN
9/2/2026,1000000000000035,21678608913,Approve,62052210,Gold,Master,S,T1,0,0,88,A,A, ,M,22,Indian,MAL,WIDOWED,Master Degree,1,OWNED,Retail Assistant,Oil & Gas,0,11786,13820,165851,165851,45,56,2.98,6226,45,53,3,N,N,0,20250904,20250831,30299.57,21500,8799.57,902.1,Selangor,Y,0,535,3,Low,V3,GD
9/2/2026,1000000000000036,22320652912,Approve,39707606,Infinite,Visa,P,O3,0,0,94850000,A,-,N,M,26,Indian,MAL,DIVORCED,Diploma,6,OWNED,Driver,Hospitality,6,24621,29500,354009,354009,15,23,10.21,5475,15,25,5,N,N,0,20260612,20260531,72647.95,50500,22147.95,1406.4,Selangor,N,0,818,4,Very Good,BC,PL
9/2/2026,1000000000000037,29424753927,Approve,75694038,Platinum,Visa,P,O5,0,0,88,A,D,D,F,59,Chinese,MAL,MARRIED,Diploma,23,OWNED,Nurse,Professional Services,17,18728,21543,258519,258519,13,23,3.3,5785,10,18,5,N,N,0,20260816,20260720,50821.54,41000,9821.54,1062.36,Kedah,N,0,766,3,Fair,MG,CL
9/2/2026,1000000000000038,20086946933,Approve,41222956,Gold,Master,P,U3,0,0,94850000,A,D,N,F,53,Malay,MAL,MARRIED,SPM,3,OWNED,Factory Worker,Manufacturing,13,21090,28330,339963,339963,24,26,5.34,2744,20,27,5,Y,N,20260911,20260902,20260810,62464.61,42500,19964.61,1321.98,Selangor,0,0,798,2,Good,IN,C2
9/2/2026,1000000000000039,20569079917,Approve,73437105,Gold,Visa,P,O5,0,0,0,A,B, ,M,35,Indian,MAL,MARRIED,Bachelor Degree,5,OWNED,Civil Servant,Food & Beverage,0,6385,7733,92805,92805,46,56,15.4,6024,50,54,1,Y,N,20251112,20251023,20250927,15560.16,12500,3060.16,1237.81,Selangor,N,0,465,1,Fair,PL,PL
9/2/2026,1000000000000040,22100304474,Approve,18223029,Gold,Master,S,U2,0,0,88,A,H, ,M,60,Indian,MAL,SINGLE,Bachelor Degree,1,OWNED,Contractor,Financial Services,8,16760,21335,256021,256021,32,39,16.44,1678,35,40,2,N,N,0,20260304,20260212,51144.03,42000,9144.03,697.04,Johor,1,0,729,1,Low,BC,MG
9/2/2026,1000000000000041,23437606472,Approve,27418572,Gold,Visa,S,T2,0,0,1,A,B,N,F,31,Malay,MAL,MARRIED,SPM,5,RENTING,Factory Worker,Agriculture,10,20036,23628,283542,283542,31,43,1.62,4342,31,43,5,Y,Y,20250909,20250824,20250813,47853.45,35000,12853.45,485.64,Sabah,Y,0,569,1,No Score,IN,IN
9/2/2026,1000000000000042,27286931464,Approve,26596590,Infinite,Visa,S,O1,0,0,1,A,A,A,M,58,Indian,MAL,WIDOWED,Bachelor Degree,21,OWNED,Accountant,Education,35,10199,13525,162301,162301,17,25,4.3,5261,18,24,3,Y,N,20260116,20260106,20251208,51517.79,39500,12017.79,1587.97,Kedah,N,0,783,1,Excellent,CL,BC
9/2/2026,1000000000000043,21067063980,Approve,86219084,Infinite,Visa,P,R2,0,0,94850000,A,H, ,M,60,Malay,MAL,SINGLE,SPM,7,MORTGAGE,Self-Employed,Healthcare,31,14543,17134,205616,205616,23,35,17.06,7673,24,33,1,Y,N,20260217,20260131,20260129,55755.54,40000,15755.54,142.45,Pulau Pinang,Y,0,759,3,Good,BC,MG
9/2/2026,1000000000000044,27020103145,Approve,96155859,Gold,Master,S,T2,0,0,94850000,A,A,D,F,40,Malay,MAL,SINGLE,Diploma,21,MORTGAGE,Nurse,Manufacturing,7,2017,2617,31413,31413,39,50,13.74,2884,33,45,2,Y,Y,20251010,20251008,20250930,19749.03,16000,3749.03,1625.11,Sabah,0,0,489,2,Very Good,MG,PL
9/2/2026,1000000000000045,22449159664,Approve,82230944,Gold,Master,P,O1,0,0,1,A,A, ,M,22,Malay,MAL,SINGLE,SPM,3,OWNED,Engineer,Oil & Gas,3,20307,25402,304824,304824,27,32,10.09,4743,23,32,5,Y,N,20260723,20260717,20260707,60169.94,40500,19669.94,283.49,Selangor,0,0,682,2,Good,C2,BC
9/2/2026,1000000000000046,22835355139,Approve,17597364,Gold,Master,P,B1,0,0,94850000,A,D, ,M,64,Malay,MAL,SINGLE,Master Degree,13,FAMILY OWNED,Supervisor,Agriculture,33,21162,26117,313415,313415,15,17,11.06,7002,18,25,5,Y,N,20260223,20260203,20260110,54437.66,39000,15437.66,874.61,Sabah,0,0,800,1,Good,C2,V3
9/2/2026,1000000000000047,22902889175,Approve,72511618,Infinite,Visa,S,B1,0,0,88,A,-,D,F,38,Chinese,MAL,MARRIED,Diploma,0,FAMILY OWNED,Army Personnel,Financial Services,4,21852,27840,334080,334080,16,19,11.04,6603,20,26,1,Y,N,20260819,20260731,20260706,58845.53,39500,19345.53,1269.69,Kelantan,1,0,771,2,Very Good,CL,CL
9/2/2026,1000000000000048,29167451266,Approve,56993293,Infinite,Visa,S,O5,0,0,94850000,A,B,A,M,33,Malay,MAL,SINGLE,Diploma,0,OWNED,Civil Servant,Telecommunications,14,24608,28609,343314,343314,9,15,8.4,2202,11,13,1,Y,N,20260607,20260605,20260530,49060.23,39000,10060.23,553.53,Terengganu,Y,0,773,3,Fair,BC,MG
9/2/2026,1000000000000049,29984498208,Approve,91650533,Classic,Visa,P,T2,0,0,1,A,H,D,M,61,Indian,MAL,MARRIED,Certificate,27,FAMILY OWNED,Lecturer,Plantation,13,2413,3121,37460,37460,43,51,7.69,2169,40,51,5,Y,Y,20260831,20260821,20260810,17216.57,13500,3716.57,387.9,Melaka,Y,0,554,2,Good,MG,MG
9/2/2026,1000000000000050,21063400085,Approve,70832175,Infinite,Visa,S,O3,0,0,94850000,A,A,N,M,42,Malay,MAL,SINGLE,Diploma,23,RENTING,Supervisor,Construction,14,20728,25137,301645,301645,19,21,16.98,7749,27,29,3,N,N,0,20250815,20250813,48005.17,34000,14005.17,798.24,Pahang,0,0,777,2,No Score,GD,V3
9/2/2026,1000000000000051,23657377673,Approve,48499243,Gold,Visa,S,R1,0,0,0,A,-, ,F,51,Chinese,MAL,SINGLE,SPM,25,OWNED,Retail Assistant,Healthcare,0,11831,15190,182283,182283,26,34,3.43,1789,29,30,2,N,N,0,20250914,20250831,31578.02,23000,8578.02,723.23,Kedah,0,0,514,4,Fair,C2,GD
9/2/2026,1000000000000052,25786756894,Approve,51211454,Classic,Visa,S,O5,0,0,94850000,A,A,D,M,39,Malay,MAL,SINGLE,SPM,12,MORTGAGE,Driver,Real Estate,2,2654,3236,38834,38834,37,49,17.02,7322,56,58,3,Y,N,20251004,20250924,20250923,21579.19,17000,4579.19,378.76,Perak,N,0,521,4,Good,C2,BC
9/2/2026,1000000000000053,22251442328,Approve,64662098,Platinum,Visa,S,O1,0,0,88,A,D,N,M,30,Chinese,MAL,SINGLE,Bachelor Degree,11,OWNED,IT Executive,Wholesale,8,22553,29085,349030,349030,22,32,1.98,4781,21,28,2,N,Y,0,20251017,20251007,58923.13,41000,17923.13,1386.84,Pulau Pinang,N,0,789,4,Fair,C2,MG
9/2/2026,1000000000000054,23032121982,Approve,52869025,Gold,Visa,S,O5,0,0,0,A,D,D,M,28,Indian,MAL,MARRIED,Diploma,8,RENTING,Chef,Education,5,9626,12895,154745,154745,38,48,10.36,7197,42,52,2,N,Y,0,20260508,20260414,14968.39,11500,3468.39,1701.05,Johor,1,0,496,3,Good,BC,BC
9/2/2026,1000000000000055,29856265256,Approve,87668208,Platinum,Visa,P,T1,0,0,88,A,A,D,M,52,Malay,MAL,WIDOWED,Bachelor Degree,19,OWNED,Army Personnel,Transportation,15,11327,14818,177825,177825,20,29,8.44,2724,21,33,2,Y,Y,20250922,20250903,20250811,49750.88,34500,15250.88,937.34,Selangor,0,0,731,2,Good,V3,PL
9/2/2026,1000000000000056,27020415939,Approve,83335618,Infinite,Visa,P,O3,0,0,1,A,B,D,M,56,Malay,MAL,SINGLE,PhD,31,OWNED,Contractor,Education,30,22637,27206,326482,326482,16,20,1.76,3265,12,23,2,N,N,0,20260423,20260412,52672.32,35500,17172.32,610.28,Perak,N,0,797,3,No Score,V3,C2
9/2/2026,1000000000000057,23289547922,Approve,48251875,Gold,Master,S,U3,0,0,94850000,A,B,A,F,59,Malay,MAL,MARRIED,SPM,10,OWNED,Civil Servant,Real Estate,40,3115,4160,49931,49931,13,15,16.34,3524,17,18,2,N,N,0,20260927,20260830,37509.91,31000,6509.91,1096.31,Johor,Y,0,699,1,Low,C2,CL
9/2/2026,1000000000000058,20939459290,Approve,37134697,Platinum,Master,P,O5,0,0,94850000,A,H,D,M,59,Chinese,MAL,DIVORCED,Diploma,27,OWNED,Doctor,Manufacturing,23,11781,15212,182549,182549,16,20,15.89,1804,18,25,5,Y,Y,20251227,20251223,20251214,57171.31,44500,12671.31,505.65,Kelantan,0,0,749,1,Very Good,CL,V3
9/2/2026,1000000000000059,22483017439,Approve,70068638,Platinum,Master,S,R2,0,0,1,A,A,N,F,56,Malay,MAL,MARRIED,SPM,17,OWNED,Accountant,Construction,30,8165,10938,131262,131262,27,33,4.02,3863,27,35,5,Y,N,20251107,20251105,20251026,31679.89,24500,7179.89,745.21,Kuala Lumpur,0,0,629,4,Good,MG,IN
9/2/2026,1000000000000060,29337386972,Approve,90487164,Platinum,Master,P,U1,0,0,1,A,H,D,F,46,Malay,MAL,SINGLE,SPM,26,FAMILY OWNED,Contractor,Healthcare,8,14065,18593,223124,223124,24,29,16.42,1330,24,29,5,Y,N,20260320,20260314,20260222,43966.25,35000,8966.25,1724.71,Kuala Lumpur,Y,0,741,1,Good,IN,PL
9/2/2026,1000000000000061,26767992533,Approve,31964828,Infinite,Visa,S,U1,0,0,0,A,-, ,F,52,Others,MAL,MARRIED,Master Degree,0,OWNED,Businessman,Construction,28,19972,25970,311640,311640,11,12,8.62,2764,14,19,2,Y,Y,20260610,20260609,20260607,68855.12,49000,19855.12,1236.41,Selangor,1,0,845,3,Fair,MG,MG
9/2/2026,1000000000000062,24545463257,Approve,94715069,Platinum,Visa,P,R1,0,0,94850000,A,B,D,F,63,Malay,MAL,MARRIED,Bachelor Degree,30,FAMILY OWNED,Sales Executive,Wholesale,12,15217,17660,211925,211925,35,43,14.06,5366,45,52,2,Y,Y,20260911,20260905,20260829,24412.51,20000,4412.51,1197.45,Pulau Pinang,Y,0,448,4,Very Good,PL,V3
9/2/2026,1000000000000063,29219108641,Approve,97963754,Gold,Visa,P,U3,0,0,94850000,A,H,N,M,47,Indian,MAL,MARRIED,Bachelor Degree,10,FAMILY OWNED,Chef,Telecommunications,2,5759,7388,88667,88667,22,30,4.97,2815,30,35,3,Y,N,20251224,20251204,20251114,32795.73,24000,8795.73,1604.31,Selangor,1,0,651,4,Very Good,MG,IN
9/2/2026,1000000000000064,24389204433,Approve,97591634,Infinite,Master,P,T2,0,0,0,A,-,A,F,23,Malay,MAL,MARRIED,SPM,2,RENTING,Civil Servant,Hospitality,4,16604,19482,233785,233785,14,24,0.96,6866,18,21,5,Y,Y,20260717,20260707,20260611,62319.73,44500,17819.73,994.64,Kelantan,Y,0,748,3,No Score,BC,MG
9/2/2026,1000000000000065,20200171009,Approve,38876693,Gold,Master,S,B6,0,0,88,A,B,D,M,37,Malay,MAL,MARRIED,Bachelor Degree,0,OWNED,Teacher,Wholesale,15,17829,20605,247268,247268,10,13,16.09,5998,5,13,1,Y,Y,20251209,20251119,20251102,72677.68,51500,21177.68,1480.2,Sabah,Y,0,709,4,No Score,MG,C2
9/2/2026,1000000000000066,22327582058,Approve,91644298,Infinite,Master,P,U1,0,0,88,A,-,A,M,63,Chinese,MAL,SINGLE,Bachelor Degree,7,OWNED,Accountant,Construction,3,24786,28756,345077,345077,17,28,10.03,545,9,20,2,Y,Y,20250925,20250907,20250814,76643.89,60500,16143.89,199.22,Perak,1,0,808,4,No Score,GD,V3
9/2/2026,1000000000000067,20389391029,Approve,17105323,Gold,Master,S,R5,0,0,1,A,D, ,F,51,Malay,MAL,MARRIED,SPM,13,OWNED,Administrator,Manufacturing,20,20875,26079,312949,312949,25,31,10.93,584,26,36,5,Y,N,20250822,20250814,20250805,51777.51,38500,13277.51,818.51,Kuala Lumpur,0,0,769,4,Very Good,IN,BC
9/2/2026,1000000000000068,28456050615,Approve,41720102,Gold,Master,P,U3,0,0,94850000,A,D, ,M,48,Indian,MAL,SINGLE,Diploma,3,RENTING,Teacher,Agriculture,25,22553,27951,335414,335414,24,36,3.57,4337,24,33,3,Y,Y,20251225,20251221,20251211,61150.61,42000,19150.61,86.87,Kuala Lumpur,0,0,715,4,Excellent,PL,C2
9/2/2026,1000000000000069,22295652378,Approve,66363505,Platinum,Master,S,B2,0,0,1,A,D,N,F,21,Chinese,MAL,SINGLE,SPM,0,FAMILY OWNED,Technician,Hospitality,1,24283,31262,375146,375146,21,33,0.63,1034,20,32,2,N,Y,0,20260512,20260417,46943.4,38500,8443.4,528.47,Johor,Y,0,673,1,Excellent,MG,MG
