TX_DT,Account_No,CIF_No,DC_Sts,Application_Branch,Score_Value,Score_Grade,MDD,FinPlus_Code,Billing_OSP,Billing_Count,Collection_OSP,Collection_Count,Unpaid_OSP,Unpaid_Count,Maintain_OSP,Maintain_Count
20260902,1000000000000015,25084086,0,22,172,A,18,O,14914.77,1,14914.77,1,0.0,0,0.0,0
20260825,1000000000000015,25084086,0,22,215,A,10,O,14914.77,1,14914.77,1,0.0,0,0.0,0
20260902,1000000000000016,54244154,0,33,212,A,2,O,15024.48,1,15024.48,1,0.0,0,0.0,0
20260825,1000000000000016,54244154,0,17,234,A,18,F,15024.48,1,15024.48,1,0.0,0,0.0,0
20260902,1000000000000017,86518436,0,48,249,B,25,S,12667.3,1,12667.3,1,0.0,0,0.0,0
20260825,1000000000000017,86518436,0,26,216,A,18,F,12667.3,1,12667.3,1,0.0,0,0.0,0
20260902,1000000000000018,72887387,1,39,157,C,18,F,27415.96,1,17473.46,1,9585.86,1,356.64,1
20260825,1000000000000018,72887387,1,48,112,B,2,F,27415.96,1,15498.91,1,7933.06,1,3983.99,1
20260902,1000000000000019,37308590,0,37,223,B,2,F,8342.93,1,8342.93,1,0.0,0,0.0,0
20260825,1000000000000019,37308590,0,5,243,A,2,S,8342.93,1,7950.74,1,343.62,1,48.57,1
20260902,1000000000000020,24305357,0,33,170,A,2,O,12025.05,1,12025.05,1,0.0,0,0.0,0
20260825,1000000000000020,24305357,0,21,211,A,25,O,12025.05,1,12025.05,1,0.0,0,0.0,0
20260902,1000000000000021,87290137,0,9,179,A,10,O,19918.6,1,19918.6,1,0.0,0,0.0,0
20260825,1000000000000021,87290137,0,5,236,A,10,F,19918.6,1,19422.07,1,396.2,1,100.33,1
20260902,1000000000000022,96272547,0,14,174,A,18,S,1975.0,1,1975.0,1,0.0,0,0.0,0
20260825,1000000000000022,96272547,0,6,209,B,2,O,1975.0,1,1975.0,1,0.0,0,0.0,0
20260902,1000000000000023,39883970,0,5,231,A,2,F,3963.37,1,3963.37,1,0.0,0,0.0,0
20260825,1000000000000023,39883970,0,43,208,B,10,O,3963.37,1,3963.37,1,0.0,0,0.0,0
20260902,1000000000000024,93388962,0,41,189,B,10,O,6450.2,1,6450.2,1,0.0,0,0.0,0
20260825,1000000000000024,93388962,0,44,225,A,25,F,6450.2,1,6450.2,1,0.0,0,0.0,0
20260902,1000000000000025,97191317,1,42,164,C,10,S,11523.98,1,6752.19,1,4644.89,1,126.9,1
20260825,1000000000000025,97191317,1,44,114,B,25,S,11523.98,1,7552.95,1,2999.53,1,971.5,1
20260902,1000000000000026,84642078,0,7,182,B,2,O,26898.97,1,26898.97,1,0.0,0,0.0,0
20260825,1000000000000026,84642078,0,20,243,B,2,S,26898.97,1,26898.97,1,0.0,0,0.0,0
20260902,1000000000000027,68548403,0,27,192,B,2,F,11042.64,1,11042.64,1,0.0,0,0.0,0
20260825,1000000000000027,68548403,0,1,228,A,2,S,11042.64,1,11042.64,1,0.0,0,0.0,0
20260902,1000000000000028,45792181,2,26,128,C,25,O,12152.19,1,5825.84,1,4150.1,1,2176.25,1
20260825,1000000000000028,45792181,2,29,120,C,25,S,12152.19,1,6686.15,1,5265.57,1,200.47,1
20260902,1000000000000029,60182044,0,25,183,B,10,O,7430.97,1,7430.97,1,0.0,0,0.0,0
20260825,1000000000000029,60182044,0,48,181,B,25,O,7430.97,1,7430.97,1,0.0,0,0.0,0
20260902,1000000000000030,10842074,0,33,190,A,25,F,18213.61,1,18213.61,1,0.0,0,0.0,0
20260825,1000000000000030,10842074,0,44,191,B,25,F,18213.61,1,18213.61,1,0.0,0,0.0,0
20260902,1000000000000031,71792473,4,44,140,D,10,S,4724.06,1,1353.06,1,3050.12,1,320.88,1
20260825,1000000000000031,71792473,4,28,163,C,10,S,4724.06,1,1284.6,1,3127.51,1,311.95,1
20260902,1000000000000032,26103982,0,13,233,A,18,O,13804.58,1,13432.78,1,355.76,1,16.04,1
20260825,1000000000000032,26103982,0,2,178,A,2,S,13804.58,1,13804.58,1,0.0,0,0.0,0
20260902,1000000000000033,35817805,0,36,197,A,10,S,3099.02,1,3099.02,1,0.0,0,0.0,0
20260825,1000000000000033,35817805,0,5,172,B,2,S,3099.02,1,3099.02,1,0.0,0,0.0,0
20260902,1000000000000034,35728692,0,17,210,B,18,S,5855.28,1,5855.28,1,0.0,0,0.0,0
20260825,1000000000000034,35728692,0,37,233,B,2,O,5855.28,1,5855.28,1,0.0,0,0.0,0
20260902,1000000000000035,62052210,2,18,132,C,18,F,4055.06,1,2201.85,1,1322.68,1,530.53,1
20260825,1000000000000035,62052210,2,47,150,C,25,F,4055.06,1,1994.7,1,1916.58,1,143.78,1
20260902,1000000000000036,39707606,2,37,134,B,25,S,15651.19,1,8577.31,1,6006.41,1,1067.47,1
20260825,1000000000000036,39707606,2,32,151,C,25,S,15651.19,1,6706.36,1,5813.41,1,3131.42,1
20260902,1000000000000037,75694038,0,49,198,A,25,F,17546.42,1,17546.42,1,0.0,0,0.0,0
20260825,1000000000000037,75694038,0,4,239,B,10,S,17546.42,1,17546.42,1,0.0,0,0.0,0
20260902,1000000000000038,41222956,0,9,201,B,10,O,18968.47,1,18441.69,1,363.08,1,163.7,1
20260825,1000000000000038,41222956,0,36,240,A,2,S,18968.47,1,18968.47,1,0.0,0,0.0,0
20260902,1000000000000039,73437105,3,10,111,C,25,S,5071.88,1,2006.05,1,1879.74,1,1186.09,1
20260825,1000000000000039,73437105,3,42,104,C,25,S,5071.88,1,1648.4,1,2829.67,1,593.81,1
20260902,1000000000000040,18223029,0,24,182,A,18,O,21827.09,1,21827.09,1,0.0,0,0.0,0
20260825,1000000000000040,18223029,0,39,247,A,2,F,21827.09,1,21827.09,1,0.0,0,0.0,0
20260902,1000000000000041,27418572,0,49,209,A,2,S,20676.45,1,20676.45,1,0.0,0,0.0,0
20260825,1000000000000041,27418572,0,2,201,A,18,S,20676.45,1,20676.45,1,0.0,0,0.0,0
20260902,1000000000000042,26596590,0,40,238,A,2,O,8682.15,1,8682.15,1,0.0,0,0.0,0
20260825,1000000000000042,26596590,0,2,229,B,25,S,8682.15,1,8682.15,1,0.0,0,0.0,0
20260902,1000000000000043,86219084,0,8,199,B,2,S,11016.88,1,10593.04,1,422.2,1,1.64,1
20260825,1000000000000043,86219084,0,14,232,B,10,S,11016.88,1,11016.88,1,0.0,0,0.0,0
20260902,1000000000000044,96155859,0,31,172,B,25,S,7165.97,1,6817.97,1,300.31,1,47.69,1
20260825,1000000000000044,96155859,0,21,185,B,25,S,7165.97,1,6863.07,1,204.49,1,98.41,1
20260902,1000000000000045,82230944,0,1,233,B,18,F,29214.69,1,29214.69,1,0.0,0,0.0,0
20260825,1000000000000045,82230944,0,46,195,B,2,O,29214.69,1,29214.69,1,0.0,0,0.0,0
20260902,1000000000000046,17597364,0,13,221,B,10,O,20175.99,1,20175.99,1,0.0,0,0.0,0
20260825,1000000000000046,17597364,0,32,175,A,18,O,20175.99,1,20175.99,1,0.0,0,0.0,0
20260902,1000000000000047,72511618,0,40,205,B,10,F,21055.75,1,21055.75,1,0.0,0,0.0,0
20260825,1000000000000047,72511618,0,45,200,A,10,S,21055.75,1,21055.75,1,0.0,0,0.0,0
20260902,1000000000000048,56993293,0,33,234,B,25,F,17431.5,1,17431.5,1,0.0,0,0.0,0
20260825,1000000000000048,56993293,0,16,178,A,25,O,17431.5,1,17431.5,1,0.0,0,0.0,0
20260902,1000000000000049,91650533,3,24,159,C,2,S,6765.21,1,2444.95,1,3426.73,1,893.53,1
20260825,1000000000000049,91650533,3,13,159,C,18,S,6765.21,1,2648.59,1,2628.46,1,1488.16,1
20260902,1000000000000050,70832175,0,32,194,A,10,S,8498.52,1,8498.52,1,0.0,0,0.0,0
20260825,1000000000000050,70832175,0,25,200,B,10,O,8498.52,1,8498.52,1,0.0,0,0.0,0
20260902,1000000000000051,48499243,0,47,188,A,25,F,1772.84,1,1772.84,1,0.0,0,0.0,0
20260825,1000000000000051,48499243,0,43,233,B,2,O,1772.84,1,1772.84,1,0.0,0,0.0,0
20260902,1000000000000052,51211454,0,23,178,A,18,O,3473.93,1,3473.93,1,0.0,0,0.0,0
20260825,1000000000000052,51211454,0,47,237,A,18,O,3473.93,1,3473.93,1,0.0,0,0.0,0
20260902,1000000000000053,64662098,0,8,217,B,18,S,11111.51,1,11111.51,1,0.0,0,0.0,0
20260825,1000000000000053,64662098,0,37,171,A,10,S,11111.51,1,11111.51,1,0.0,0,0.0,0
20260902,1000000000000054,52869025,3,3,106,B,25,O,1892.24,1,732.86,1,846.57,1,312.81,1
20260825,1000000000000054,52869025,3,29,153,C,25,F,1892.24,1,584.09,1,1252.44,1,55.71,1
20260902,1000000000000055,87668208,0,46,170,A,2,O,11394.99,1,11394.99,1,0.0,0,0.0,0
20260825,1000000000000055,87668208,0,36,247,B,2,S,11394.99,1,11394.99,1,0.0,0,0.0,0
20260902,1000000000000056,83335618,0,16,231,B,2,O,2012.99,1,2012.99,1,0.0,0,0.0,0
20260825,1000000000000056,83335618,0,18,218,A,10,F,2012.99,1,2012.99,1,0.0,0,0.0,0
20260902,1000000000000057,48251875,0,35,190,A,25,O,11603.27,1,11603.27,1,0.0,0,0.0,0
20260825,1000000000000057,48251875,0,7,192,B,25,F,11603.27,1,11603.27,1,0.0,0,0.0,0
20260902,1000000000000058,37134697,0,29,185,A,18,F,20607.58,1,20607.58,1,0.0,0,0.0,0
20260825,1000000000000058,37134697,0,9,213,B,18,S,20607.58,1,20607.58,1,0.0,0,0.0,0
20260902,1000000000000059,70068638,0,21,221,B,18,O,11509.62,1,11509.62,1,0.0,0,0.0,0
20260825,1000000000000059,70068638,0,50,242,A,2,S,11509.62,1,11509.62,1,0.0,0,0.0,0
20260902,1000000000000060,90487164,0,27,238,B,2,F,10880.88,1,10880.88,1,0.0,0,0.0,0
20260825,1000000000000060,90487164,0,17,240,B,10,O,10880.88,1,10880.88,1,0.0,0,0.0,0
20260902,1000000000000061,31964828,0,36,188,A,18,S,5742.81,1,5742.81,1,0.0,0,0.0,0
20260825,1000000000000061,31964828,0,43,179,B,18,F,5742.81,1,5742.81,1,0.0,0,0.0,0
20260902,1000000000000062,94715069,0,2,210,B,10,O,5727.03,1,5727.03,1,0.0,0,0.0,0
20260825,1000000000000062,94715069,0,38,213,B,18,S,5727.03,1,5727.03,1,0.0,0,0.0,0
20260902,1000000000000063,97963754,0,35,174,A,18,F,4821.69,1,4821.69,1,0.0,0,0.0,0
20260825,1000000000000063,97963754,0,14,232,B,2,S,4821.69,1,4802.87,1,16.13,1,2.69,1
20260902,1000000000000064,97591634,2,13,122,C,2,O,8139.67,1,3731.71,1,3980.09,1,427.87,1
20260825,1000000000000064,97591634,2,39,119,B,10,O,8139.67,1,3506.15,1,2814.11,1,1819.41,1
20260902,1000000000000065,38876693,1,39,119,B,18,O,26253.85,1,17387.66,1,6062.43,1,2803.76,1
20260825,1000000000000065,38876693,1,31,140,C,25,S,26253.85,1,16594.64,1,7499.17,1,2160.04,1
20260902,1000000000000066,91644298,0,30,191,B,25,S,3025.0,1,3025.0,1,0.0,0,0.0,0
20260825,1000000000000066,91644298,0,10,197,A,2,S,3025.0,1,3025.0,1,0.0,0,0.0,0
20260902,1000000000000067,17105323,0,20,202,A,18,F,12375.67,1,12375.67,1,0.0,0,0.0,0
20260825,1000000000000067,17105323,0,13,174,B,18,S,12375.67,1,12375.67,1,0.0,0,0.0,0
20260902,1000000000000068,41720102,0,1,218,A,10,S,6308.26,1,6308.26,1,0.0,0,0.0,0
20260825,1000000000000068,41720102,0,25,243,B,25,O,6308.26,1,6308.26,1,0.0,0,0.0,0
20260902,1000000000000069,66363505,0,47,229,B,25,S,25290.57,1,24808.31,1,350.09,1,132.17,1
20260825,1000000000000069,66363505,0,10,199,B,2,S,25290.57,1,25290.57,1,0.0,0,0.0,0
20260902,1000000000000070,19229212,0,50,193,B,25,O,7711.51,1,7711.51,1,0.0,0,0.0,0
20260825,1000000000000070,19229212,0,46,214,B,10,F,7711.51,1,7711.51,1,0.0,0,0.0,0
20260902,1000000000000071,50773548,2,4,131,C,18,O,17948.42,1,7722.28,1,7864.06,1,2362.08,1
20260825,1000000000000071,50773548,2,4,153,C,18,F,17948.42,1,7761.08,1,8477.54,1,1709.8,1
20260902,1000000000000072,66497402,0,46,209,A,2,F,2619.04,1,2619.04,1,0.0,0,0.0,0
20260825,1000000000000072,66497402,0,13,179,A,2,F,2619.04,1,2536.6,1,65.56,1,16.88,1
20260902,1000000000000073,23724194,0,42,201,B,2,S,6922.06,1,6922.06,1,0.0,0,0.0,0
20260825,1000000000000073,23724194,0,42,230,B,10,S,6922.06,1,6922.06,1,0.0,0,0.0,0
20260902,1000000000000074,99508850,0,42,225,B,10,S,4154.3,1,4154.3,1,0.0,0,0.0,0
20260825,1000000000000074,99508850,0,20,230,A,25,O,4154.3,1,4093.98,1,57.64,1,2.68,1
20260902,1000000000000075,71524281,0,35,197,B,10,F,6997.07,1,6997.07,1,0.0,0,0.0,0
20260825,1000000000000075,71524281,0,27,214,B,2,O,6997.07,1,6997.07,1,0.0,0,0.0,0
20260902,1000000000000076,55470218,0,36,177,B,25,S,16762.52,1,16171.79,1,553.5,1,37.23,1
20260825,1000000000000076,55470218,0,9,211,B,10,O,16762.52,1,16762.52,1,0.0,0,0.0,0
20260902,1000000000000077,24561005,0,26,227,A,25,S,13744.07,1,13744.07,1,0.0,0,0.0,0
20260825,1000000000000077,24561005,0,7,176,B,2,O,13744.07,1,13744.07,1,0.0,0,0.0,0
20260902,1000000000000078,46093287,0,33,232,A,25,F,3576.42,1,3576.42,1,0.0,0,0.0,0
20260825,1000000000000078,46093287,0,18,178,A,25,F,3576.42,1,3576.42,1,0.0,0,0.0,0
20260902,1000000000000079,17298381,2,6,150,B,2,O,15769.2,1,6685.87,1,5970.88,1,3112.45,1
20260825,1000000000000079,17298381,2,15,160,C,18,S,15769.2,1,7493.65,1,8223.45,1,52.1,1
20260902,1000000000000080,47101348,0,4,214,A,10,S,8165.79,1,8165.79,1,0.0,0,0.0,0
20260825,1000000000000080,47101348,0,27,241,A,2,S,8165.79,1,8165.79,1,0.0,0,0.0,0
20260902,1000000000000081,40212304,0,25,216,A,2,F,4920.6,1,4920.6,1,0.0,0,0.0,0
20260825,1000000000000081,40212304,0,14,214,B,18,S,4920.6,1,4877.61,1,32.47,1,10.52,1
20260902,1000000000000082,48668446,3,1,123,C,2,F,5647.42,1,2179.92,1,3423.57,1,43.93,1
20260825,1000000000000082,48668446,3,39,102,B,2,S,5647.42,1,2123.09,1,2369.12,1,1155.21,1
20260902,1000000000000083,95380264,0,45,196,B,2,O,4172.38,1,4172.38,1,0.0,0,0.0,0
20260825,1000000000000083,95380264,0,25,213,A,10,S,4172.38,1,4172.38,1,0.0,0,0.0,0
20260902,1000000000000084,24051169,2,17,133,C,2,S,12344.95,1,6736.0,1,4968.42,1,640.53,1
20260825,1000000000000084,24051169,2,14,116,C,25,S,12344.95,1,5283.01,1,6856.83,1,205.11,1
20260902,1000000000000085,57865055,0,24,234,A,2,S,10525.33,1,10525.33,1,0.0,0,0.0,0
20260825,1000000000000085,57865055,0,31,201,B,2,F,10525.33,1,10525.33,1,0.0,0,0.0,0
20260902,1000000000000086,64646168,0,13,230,B,25,O,2700.0,1,2700.0,1,0.0,0,0.0,0
20260825,1000000000000086,64646168,0,30,196,B,10,O,2700.0,1,2700.0,1,0.0,0,0.0,0
20260902,1000000000000087,74802325,3,3,134,C,2,S,5913.97,1,2135.02,1,3496.79,1,282.16,1
20260825,1000000000000087,74802325,3,11,120,C,10,S,5913.97,1,2546.11,1,2154.11,1,1213.75,1
20260902,1000000000000088,93305188,0,4,199,A,18,F,3510.9,1,3510.9,1,0.0,0,0.0,0
20260825,1000000000000088,93305188,0,44,208,A,18,F,3510.9,1,3360.03,1,134.54,1,16.33,1
20260902,1000000000000089,29750059,0,48,234,A,25,F,7788.89,1,7788.89,1,0.0,0,0.0,0
20260825,1000000000000089,29750059,0,3,204,A,18,S,7788.89,1,7788.89,1,0.0,0,0.0,0
20260902,1000000000000090,13414017,0,50,215,B,10,O,2600.0,1,2600.0,1,0.0,0,0.0,0
20260825,1000000000000090,13414017,0,3,192,A,2,O,2600.0,1,2600.0,1,0.0,0,0.0,0
20260902,1000000000000091,73073898,0,9,192,A,25,F,12229.17,1,12229.17,1,0.0,0,0.0,0
20260825,1000000000000091,73073898,0,15,233,A,25,O,12229.17,1,12229.17,1,0.0,0,0.0,0
20260902,1000000000000092,41715154,0,38,227,B,25,S,7645.23,1,7645.23,1,0.0,0,0.0,0
20260825,1000000000000092,41715154,0,43,229,B,2,O,7645.23,1,7645.23,1,0.0,0,0.0,0
20260902,1000000000000093,56739546,2,48,107,B,2,S,8529.04,1,4242.91,1,3067.94,1,1218.19,1
20260825,1000000000000093,56739546,2,45,170,B,18,O,8529.04,1,4207.68,1,2825.54,1,1495.82,1
20260902,1000000000000094,60185867,0,19,203,B,18,S,4705.92,1,4599.17,1,73.5,1,33.25,1
20260825,1000000000000094,60185867,0,13,216,B,25,F,4705.92,1,4610.74,1,71.98,1,23.2,1
20260902,1000000000000095,99064042,0,5,236,A,25,F,1900.0,1,1900.0,1,0.0,0,0.0,0
20260825,1000000000000095,99064042,0,25,246,B,18,O,1900.0,1,1900.0,1,0.0,0,0.0,0
20260902,1000000000000096,59987316,0,26,249,A,10,S,1625.0,1,1625.0,1,0.0,0,0.0,0
20260825,1000000000000096,59987316,0,49,174,A,2,F,1625.0,1,1625.0,1,0.0,0,0.0,0
20260902,1000000000000097,65180948,0,41,231,B,10,O,26726.66,1,26726.66,1,0.0,0,0.0,0
20260825,1000000000000097,65180948,0,50,230,B,25,O,26726.66,1,26726.66,1,0.0,0,0.0,0
20260902,1000000000000098,44323784,0,23,234,B,18,O,9812.84,1,9812.84,1,0.0,0,0.0,0
20260825,1000000000000098,44323784,0,30,199,A,18,O,9812.84,1,9788.15,1,17.67,1,7.02,1
20260902,1000000000000099,35578773,0,13,219,B,18,F,2450.0,1,2450.0,1,0.0,0,0.0,0
20260825,1000000000000099,35578773,0,38,228,A,2,F,2450.0,1,2450.0,1,0.0,0,0.0,0
20260902,1000000000000100,52209421,2,23,112,C,10,O,19653.16,1,8205.98,1,9174.75,1,2272.43,1
20260825,1000000000000100,52209421,2,48,150,B,25,S,19653.16,1,8064.24,1,11338.91,1,250.01,1
20260902,1000000000000101,86273803,0,33,226,B,25,F,4485.6,1,4485.6,1,0.0,0,0.0,0
20260825,1000000000000101,86273803,0,22,250,B,25,O,4485.6,1,4485.6,1,0.0,0,0.0,0
20260902,1000000000000102,51460853,0,22,243,A,10,F,9912.65,1,9912.65,1,0.0,0,0.0,0
20260825,1000000000000102,51460853,0,10,216,B,10,F,9912.65,1,9912.65,1,0.0,0,0.0,0
20260902,1000000000000103,91041439,0,5,189,B,18,F,2305.27,1,2305.27,1,0.0,0,0.0,0
20260825,1000000000000103,91041439,0,18,224,A,25,O,2305.27,1,2305.27,1,0.0,0,0.0,0
20260902,1000000000000104,58255231,0,28,178,B,2,O,22630.62,1,22630.62,1,0.0,0,0.0,0
20260825,1000000000000104,58255231,0,22,188,B,2,O,22630.62,1,22630.62,1,0.0,0,0.0,0
20260902,1000000000000105,33827142,0,49,209,A,10,S,2650.0,1,2650.0,1,0.0,0,0.0,0
20260825,1000000000000105,33827142,0,43,184,A,10,S,2650.0,1,2650.0,1,0.0,0,0.0,0
20260902,1000000000000106,62570183,0,28,192,B,18,S,15734.89,1,15085.86,1,444.23,1,204.8,1
20260825,1000000000000106,62570183,0,34,238,A,2,S,15734.89,1,15383.96,1,298.39,1,52.54,1
20260902,1000000000000107,61655958,2,22,140,C,10,S,6289.93,1,3515.79,1,2394.52,1,379.62,1
20260825,1000000000000107,61655958,2,41,154,B,25,O,6289.93,1,2941.25,1,2877.07,1,471.61,1
20260902,1000000000000108,15081624,0,50,213,B,2,F,2075.0,1,2075.0,1,0.0,0,0.0,0
20260825,1000000000000108,15081624,0,17,199,A,10,S,2075.0,1,2032.22,1,29.82,1,12.96,1
20260902,1000000000000109,43792654,0,19,187,B,2,O,14518.69,1,13876.62,1,421.58,1,220.49,1
20260825,1000000000000109,43792654,0,16,242,A,2,O,14518.69,1,14317.06,1,159.7,1,41.93,1
20260902,1000000000000110,96574438,0,22,177,A,2,O,16552.0,1,16552.0,1,0.0,0,0.0,0
20260825,1000000000000110,96574438,0,34,239,B,10,S,16552.0,1,16552.0,1,0.0,0,0.0,0
20260902,1000000000000111,44184054,0,11,191,A,25,F,7746.18,1,7746.18,1,0.0,0,0.0,0
20260825,1000000000000111,44184054,0,10,218,B,25,F,7746.18,1,7746.18,1,0.0,0,0.0,0
20260902,1000000000000112,57814619,0,13,185,A,2,S,8544.72,1,8544.72,1,0.0,0,0.0,0
20260825,1000000000000112,57814619,0,37,238,A,10,O,8544.72,1,8544.72,1,0.0,0,0.0,0
20260902,1000000000000113,91979982,2,33,166,C,2,F,10435.66,1,5293.63,1,4404.92,1,737.11,1
20260825,1000000000000113,91979982,2,6,138,C,25,O,10435.66,1,5536.88,1,3619.59,1,1279.19,1
20260902,1000000000000114,80889684,2,47,164,B,2,S,8252.97,1,3394.5,1,3756.46,1,1102.01,1
20260825,1000000000000114,80889684,2,44,118,B,2,O,8252.97,1,4312.0,1,2765.0,1,1175.97,1
20260902,1000000000000115,31450764,0,40,220,A,10,O,13729.07,1,13729.07,1,0.0,0,0.0,0
20260825,1000000000000115,31450764,0,49,208,A,2,S,13729.07,1,13729.07,1,0.0,0,0.0,0
20260902,1000000000000116,13852508,1,41,112,B,2,S,9833.3,1,5370.42,1,3879.85,1,583.03,1
20260825,1000000000000116,13852508,1,21,142,C,10,F,9833.3,1,6123.73,1,2953.3,1,756.27,1
20260902,1000000000000117,43562313,0,3,172,B,25,S,4910.56,1,4910.56,1,0.0,0,0.0,0
20260825,1000000000000117,43562313,0,40,249,B,10,F,4910.56,1,4910.56,1,0.0,0,0.0,0
20260902,1000000000000118,40757252,2,2,146,C,18,S,19326.08,1,9362.38,1,8312.12,1,1651.58,1
20260825,1000000000000118,40757252,2,24,164,B,2,F,19326.08,1,8426.55,1,7074.17,1,3825.36,1
20260902,1000000000000119,79550585,2,39,143,C,10,S,16453.81,1,7949.15,1,5858.3,1,2646.36,1
20260825,1000000000000119,79550585,2,7,101,C,25,S,16453.81,1,8077.25,1,8309.06,1,67.5,1
20260902,1000000000000120,88295121,0,37,198,B,25,S,6672.92,1,6672.92,1,0.0,0,0.0,0
20260825,1000000000000120,88295121,0,24,190,B,10,S,6672.92,1,6672.92,1,0.0,0,0.0,0
20260902,1000000000000121,64162221,0,49,240,A,10,F,2275.0,1,2275.0,1,0.0,0,0.0,0
20260825,1000000000000121,64162221,0,43,237,B,10,S,2275.0,1,2275.0,1,0.0,0,0.0,0
20260902,1000000000000122,82712656,0,38,240,B,25,O,9864.16,1,9864.16,1,0.0,0,0.0,0
20260825,1000000000000122,82712656,0,40,244,B,2,F,9864.16,1,9469.8,1,383.79,1,10.57,1
20260902,1000000000000123,45411876,3,15,157,C,10,S,5539.12,1,2281.22,1,2239.8,1,1018.1,1
20260825,1000000000000123,45411876,3,25,134,B,18,S,5539.12,1,2045.31,1,2471.32,1,1022.49,1
20260902,1000000000000124,49423056,0,39,178,B,18,S,1983.78,1,1983.78,1,0.0,0,0.0,0
20260825,1000000000000124,49423056,0,24,221,A,25,F,1983.78,1,1983.78,1,0.0,0,0.0,0
20260902,1000000000000125,28528338,0,18,210,A,2,F,2083.02,1,2083.02,1,0.0,0,0.0,0
20260825,1000000000000125,28528338,0,19,228,B,2,O,2083.02,1,2083.02,1,0.0,0,0.0,0
20260902,1000000000000126,13003845,4,30,106,C,10,S,5346.13,1,1063.11,1,2932.97,1,1350.05,1
20260825,1000000000000126,13003845,4,20,137,C,2,F,5346.13,1,1121.32,1,2562.96,1,1661.85,1
20260902,1000000000000127,40055302,0,15,195,B,25,S,9769.93,1,9769.93,1,0.0,0,0.0,0
20260825,1000000000000127,40055302,0,3,190,A,18,S,9769.93,1,9545.04,1,170.52,1,54.37,1
20260902,1000000000000128,95689443,0,8,191,A,2,F,9764.51,1,9764.51,1,0.0,0,0.0,0
20260825,1000000000000128,95689443,0,35,190,A,2,S,9764.51,1,9764.51,1,0.0,0,0.0,0
